TC_plate,TC_well,Condition,TimeDays,CPM_in_100_uL_protein_depleted_medium,CPM_in_100_uL_cell_protein_extract,percentage_of_protein_depleted_medium_counted,percentage_of_cell_protein_extract_counted,CPM_ratio_protein_depleted_medium_over_cell_protein,CPM_ratio_protein_depleted_medium_over_total_observed_CPM,X_to_1_coeff_Ci_per_L_to_CPM_protein_depleted_medium,X_to_0_coeff_Ci_per_L_to_CPM_protein_depleted_medium,specific_activity_in_protein_depleted_medium_nanoCi_per_L,activity_in_protein_depleted_medium_picoCi,X_to_1_coeff_Ci_per_L_to_CPM_cell_protein_extract,X_to_0_coeff_Ci_per_L_to_CPM_cell_protein_extract,specific_activity_in_cell_protein_extract_nanoCi_per_L,activity_in_cell_protein_extract_picoCi,curie_ratio_protein_depleted_medium_over_cell_protein,curie_ratio_protein_depleted_medium_over_total_observed_CPM
20,11,TT,1,298,7285,0.181818182,0.666666667,0.149988561,0.130426133,66322046.11,21.95533141,4162.18565,624.3278475,110263860.3,464.2044674,61858.84946,9278.82742,0.06728521,0.063043326
20,12,V,1,329,6386,0.181818182,0.666666667,0.188902808,0.158888352,66322046.11,21.95533141,4629.601868,694.4402803,110263860.3,464.2044674,53705.67944,8055.851916,0.086203208,0.079361953
20,13,P,1,295,7064,0.181818182,0.666666667,0.15312382,0.132790441,66322046.11,21.95533141,4116.951822,617.5427733,110263860.3,464.2044674,59854.56629,8978.184943,0.068782585,0.064356013
20,14,P,1,264,7676,0.181818182,0.666666667,0.126107348,0.111985192,66322046.11,21.95533141,3649.535604,547.4303406,110263860.3,464.2044674,65404.88893,9810.733339,0.055799125,0.052850134
20,15,P,1,287,7083,0.181818182,0.666666667,0.148571697,0.129353438,66322046.11,21.95533141,3996.328282,599.4492423,110263860.3,464.2044674,60026.88023,9004.032034,0.066575645,0.062419994
20,16,P,1,273,7861,0.181818182,0.666666667,0.127337489,0.112954186,66322046.11,21.95533141,3785.237087,567.785563,110263860.3,464.2044674,67082.68254,10062.40238,0.056426442,0.053412561
20,17,P,1,282,7542,0.181818182,0.666666667,0.137098913,0.12056903,66322046.11,21.95533141,3920.938569,588.1407854,110263860.3,464.2044674,64189.62221,9628.443331,0.061083684,0.057567263
20,18,V,1,291,6556,0.181818182,0.666666667,0.162751678,0.13997114,66322046.11,21.95533141,4056.640052,608.4960078,110263860.3,464.2044674,55247.43573,8287.11536,0.073426757,0.068404068
20,19,TTP,1,344,6994,0.181818182,0.666666667,0.180345058,0.152790115,66322046.11,21.95533141,4855.771006,728.365651,110263860.3,464.2044674,59219.72546,8882.958819,0.081995838,0.075782027
20,20,TTP,1,285,6842,0.181818182,0.666666667,0.152733119,0.132496513,66322046.11,21.95533141,3966.172397,594.9258595,110263860.3,464.2044674,57841.21396,8676.182094,0.068570006,0.064169877
20,21,TTP,1,324,7659,0.181818182,0.666666667,0.155111633,0.134282808,66322046.11,21.95533141,4554.212156,683.1318234,110263860.3,464.2044674,65250.7133,9787.606995,0.069795592,0.065241989
20,22,TTP,1,300,7214,0.181818182,0.666666667,0.152481286,0.132306952,66322046.11,21.95533141,4192.341535,628.8512302,110263860.3,464.2044674,61214.93948,9182.240923,0.068485595,0.064095946
20,23,TTP,1,323,7260,0.181818182,0.666666667,0.163131313,0.140251845,66322046.11,21.95533141,4539.134213,680.870132,110263860.3,464.2044674,61632.1206,9244.81809,0.07364884,0.068596768
20,24,V,1,338,6880,0.181818182,0.666666667,0.180135659,0.15263979,66322046.11,21.95533141,4765.303351,714.7955027,110263860.3,464.2044674,58185.84183,8727.876275,0.081897988,0.075698438
21,1,DD,2,279,5989,0.181818182,0.666666667,0.170813157,0.145892755,66322046.11,21.95533141,3875.704742,581.3557113,110263860.3,464.2044674,50105.22505,7515.783757,0.077351309,0.071797666
21,2,DD,2,304,6618,0.181818182,0.666666667,0.168429536,0.144150358,66322046.11,21.95533141,4252.653305,637.8979958,110263860.3,464.2044674,55809.72332,8371.458498,0.076199147,0.070803947
21,3,DD,2,299,7294,0.181818182,0.666666667,0.150306188,0.130666243,66322046.11,21.95533141,4177.263592,626.5895389,110263860.3,464.2044674,61940.47186,9291.070778,0.06743997,0.063179169
